203,0,75468
212,0,75468
214,0,75468
246,0,75468
227,0,75471
233,0,75472
271,0,75468
268,0,75468
267,0,75468
322,0,75468
245,0,75468
263,0,75468
259,0,75468
262,0,75468
242,0,75468
265,0,75468
153,0,75471
205,0,75468
229,0,75468
223,0,75468
224,0,75468
228,0,75468
266,0,75468
241,0,75468
329,0,75471
325,0,75471
326,0,75472
230,0,75468
204,0,75468
320,0,75468
137,0,75468
162,0,75468
170,0,75471
171,0,75471
192,0,75471
193,0,75471
189,0,75471
190,0,75471
176,0,75468
178,0,75468
158,0,75468
159,0,75468
186,0,75468
187,0,75468
165,0,75468
166,0,75468
174,0,75468
184,0,75471
191,0,75471
183,0,75471
206,0,75468
195,0,75468
208,0,75468
289,0,75468
179,0,75468
199,0,75471
198,0,75472
200,0,75479
217,0,75471
216,0,75471
218,0,75471
196,0,75471
201,0,75472
180,0,75468
210,0,75468
220,0,75471
239,0,75482
169,0,75471
172,0,75471
194,0,75471
177,0,75468
479,0,75468
207,0,75468
331,0,75468
132,0,75468
297,0,75468
299,0,75468
219,0,75471
211,0,75468
221,0,75471
160,0,75468
161,0,75468
188,0,75471
157,0,75468
156,0,75468
164,0,75468
173,0,75468
175,0,75468
182,0,75468
139,0,75482
288,0,75468
209,0,75468
185,0,75468
481,0,75468
181,0,75468
197,0,75472
480,0,75468
131,0,75468
138,0,75471
222,0,75468
145,0,75468
155,0,75468
292,0,75468
293,0,75471
140,0,75482
136,0,75471
275,0,75471
276,0,75471
277,0,75471
278,0,75471
279,0,75471
281,0,75468
282,0,75468
284,0,75468
404,0,75468
407,0,75468
283,0,75468
147,0,75468
148,0,75468
150,0,75468
151,0,75468
152,0,75468
342,0,75468
168,0,75468
291,0,75471
346,0,75468
347,0,75468
344,0,75468
163,0,75468
410,0,75468
142,0,75471
141,0,75468
354,0,75468
355,0,75468
356,0,75468
357,0,75468
358,0,75468
353,0,75468
143,0,75468
133,0,75468
130,0,75468
252,0,75468
255,0,75468
254,0,75468
258,0,75468
285,0,75468
253,0,75471
236,0,75468
248,0,75468
247,0,75468
249,0,75471
250,0,75471
269,0,75468
244,0,75468
264,0,75468
213,0,75468
235,0,75468
215,0,75471
226,0,75471
232,0,75468
321,0,75468
238,0,75468
134,0,75468
144,0,75468
234,0,75468
243,0,75468
368,0,75468
369,0,75468
373,0,75468
374,0,75468
323,0,75468
327,0,75479
370,0,75468
202,0,75468
154,0,75468
365,0,75468
294,0,75468
257,0,75471
