416	3
382	32
722	34
983	60
989	60
476	66
475	66
491	63
1125	84
1126	84
1133	84
1132	84
1131	84
1130	84
1129	84
1128	84
1127	84
90	125
91	125
92	125
207	125
207	127
208	125
208	127
209	125
209	127
210	125
210	127
221	125
221	128
222	125
222	128
223	125
223	128
217	125
217	129
218	125
218	129
219	125
219	129
211	125
212	125
213	125
98	135
100	135
97	125
99	125
107	125
108	125
109	125
101	125
102	125
103	125
104	125
105	125
106	125
176	125
178	139
178	125
2046	176
2140	191
2172	139
2276	198
2293	127
2304	206
2304	207
2367	208
2367	207
2367	206
2367	209
2399	220
2401	220
2402	220
2404	220
2415	220
2416	220
2417	220
2648	186
2645	186
2661	211
2662	213
2662	3
2704	290
2826	330
2827	333
2856	339
2849	341
2681	405
2682	405
2683	405
2677	405
2677	414
2678	405
2678	250
2679	405
2680	405
3241	470
3241	135
3252	470
3260	470
3260	297
3272	470
3272	499
3293	470
3293	135
3294	470
3294	135
3273	470
3273	499
3358	330
3358	333
3372	135
3372	524
3374	135
3374	524
3376	135
3376	524
3373	135
3373	524
3371	135
3371	524
3375	135
3375	524
3542	330
3542	524
3540	330
3540	524
3539	330
3539	524
3541	330
3541	524
426	562
3895	573
3598	524
3598	135
3599	524
3599	135
3600	524
3600	135
3642	412
3643	412
3641	412
3648	368
3644	368
3645	368
3647	368
4489	135
4491	135
4492	135
5459	751
2663	3
220	125
220	129
723	920
723	34
8135	1049
8155	1049
8156	1049
8162	1049
177	139
177	125
5119	549
5119	1181
5130	549
5130	1182
5143	549
5145	549
5145	1182
5142	549
5142	1181
5149	549
5149	1182
5150	549
5150	1182
5157	549
5157	1181
5157	1182
5161	549
5216	549
5216	1182
5218	549
5219	549
5217	549
5138	129
5160	549
5141	549
5141	1181
6969	1211
7066	1032
7065	1032
7070	1238
7075	1238
7076	1238
7077	1238
7078	1238
7079	1238
7080	1238
7081	1238
7082	1238
4693	1259
7098	1238
7064	1268
7106	1268
7247	1268
7315	1268
5860	1276
6294	1276
6225	1276
8399	1277
8399	1217
6295	1276
6296	1276
7753	1278
7738	1278
7329	1276
7335	1276
7373	1276
4015	1049
4024	1049
5616	1049
5617	1049
5618	1049
5652	1049
5859	1049
7074	1238
5159	66
5147	66
6888	631
6855	631
6990	1328
6990	1329
3819	1328
2428	252
942	1381
854	1381
1979	1381
1979	1385
1981	1381
1981	1385
1980	1381
1980	1385
3481	1386
2848	341
2852	1387
2851	339
3287	961
3301	1402
3486	34
3402	34
4945	361
597	361
3421	1425
302	549
4881	60
4881	562
4884	60
4884	562
4884	32
687	1553
687	60
8567	1558
8568	1559
8569	1560
8574	60
8566	1563
2193	980
2221	198
2275	129
2388	129
2170	139
2423	252
2191	191
2191	375
2269	129
2469	129
2271	129
2492	414
2270	129
2761	129
4467	135
4467	189
4472	135
4472	1615
8366	1181
6642	1033
2153	212
2156	980
2156	210
654	1708
2166	980
2166	210
2169	198
2169	212
2165	212
2165	198
2167	212
2167	210
4401	361
705	361
2192	1720
2201	211
2203	211
2207	1720
2212	1720
2209	1720
2213	1720
2214	1720
2215	1720
784	347
805	252
879	1734
4233	96
4234	96
4235	96
4236	96
2200	980
2200	210
4653	361
2295	252
4601	128
4596	128
4603	128
4680	1043
4681	1043
4686	1043
6315	751
6316	751
5917	751
6317	751
4692	297
8579	1843
8681	60
8580	1484
8589	1844
8589	1845
8581	1484
806	378
143	129
143	368
7905	1276
3477	1386
8562	368
2048	1186
2308	126
4702	2305
3351	2361
3351	2362
8556	60
8557	368
8558	60
8559	60
8570	2171
8571	60
8572	2172
8573	2173
8575	2175
8576	2176
8958	1484
8587	944
8694	60
8980	1484
8990	920
683	1553
683	60
683	2157
700	1553
700	549
4874	60
4874	2174
4874	32
4876	60
4876	2174
4876	562
4883	60
4883	562
4883	32
3347	60
3350	60
3350	330
3352	60
3352	333
3353	60
3353	330
3355	60
3355	330
3356	60
3357	60
316	2380
420	290
423	60
282	2196
