27608	324	1	1.0
27110	302	1	1.0
26277	168	7	0.0
26111	168	1	1.0
26111	302	2	0.6
26807	168	2	0.0
26807	302	3	0.0
26278	168	2	0.82
26278	302	1	1.0
26546	302	1	1.0
26658	302	1	1.0
26808	168	1	1.0
26808	302	1	1.0
26494	302	6	0.0
26998	302	2	0.0
27147	168	3	0.73
27147	302	1	1.0
27149	168	2	0.82
27149	302	1	1.0
27115	168	2	0.82
27115	302	2	0.6
27101	168	1	0.0
27101	302	1	0.0
27106	168	1	1.0
27106	302	1	1.0
27976	121	21	0.0
28036	121	13	0.24
28015	368	1	1.0
28049	440	3	0.4
28503	121	23	0.0
26409	700	1	1.0
27107	697	3	0.57
27107	687	1	1.0
27107	700	1	1.0
27137	684	1	1.0
27137	687	1	1.0
27137	700	1	1.0
26368	700	1	1.0
26245	697	1	1.0
27112	684	1	1.0
27112	687	1	1.0
27112	700	1	1.0
27115	697	1	1.0
27045	700	1	1.0
26368	697	1	1.0
26806	683	1	1.0
26806	684	1	1.0
26806	687	1	1.0
26806	700	1	1.0
28933	1125	3	0.25
27106	683	1	1.0
27106	684	1	1.0
27106	687	1	1.0
27106	700	1	1.0
26111	683	2	0.33
26111	684	2	0.71
26111	687	2	0.83
26111	700	3	0.67
27124	697	1	1.0
26580	697	9	0.0
27124	683	1	1.0
27124	684	1	1.0
27124	687	1	1.0
27124	700	1	1.0
27108	697	1	1.0
27108	683	1	1.0
27108	684	1	1.0
27108	687	1	1.0
27108	700	1	1.0
27608	121	12	0.29
28047	569	1	1.0
28047	362	3	0.25
28047	412	2	0.67
28047	413	7	0.0
27128	697	1	1.0
26580	683	2	0.33
26580	684	1	1.0
26580	687	16	0.0
28047	371	8	0.0
28047	368	2	0.33
28047	383	1	1.0
28047	386	4	0.2
28047	417	5	0.0
28047	472	2	0.33
28047	444	3	0.25
28047	445	1	1.0
27608	143	6	0.85
26245	683	1	1.0
26245	684	1	1.0
26245	687	1	1.0
26245	700	1	1.0
26679	697	1	1.0
27126	683	1	1.0
27126	684	3	0.0
27126	687	1	1.0
27126	700	1	1.0
26679	683	1	1.0
26679	684	1	1.0
26679	687	1	1.0
26679	700	2	0.78
27126	697	1	1.0
