3,0
32,1
34,2
60,3
66,4
63,5
84,6
125,7
127,8
128,9
129,10
135,11
139,12
176,13
191,14
198,15
206,16
207,17
208,18
209,19
220,20
186,21
211,22
213,23
290,24
330,25
333,26
339,27
341,28
405,29
414,30
250,31
470,32
297,33
499,34
524,35
562,36
573,37
412,38
368,39
751,40
920,41
1049,42
549,43
1181,44
1182,45
1211,46
1032,47
1238,48
1259,49
1268,50
1276,51
1277,52
1217,53
1278,54
631,55
1328,56
1329,57
252,58
1381,59
1385,60
1386,61
1387,62
961,63
1402,64
361,65
1425,66
1553,67
1558,68
1559,69
1560,70
1563,71
980,72
375,73
189,74
1615,75
1033,76
212,77
210,78
1708,79
1720,80
347,81
1734,82
96,83
1043,84
1843,85
1484,86
1844,87
1845,88
378,89
1186,90
126,91
2305,92
2361,93
2362,94
2171,95
2172,96
2173,97
2175,98
2176,99
944,100
2157,101
2174,102
2380,103
2196,104
2487,105
2133,106
2135,107
1860,108
943,109
942,110
2141,111
699,112
2587,113
2588,114
304,115
2169,116
2170,117
616,118
2274,119
1064,120
1068,121
1069,122
2184,123
566,124
785,125
2956,126
416,127
358,128
1571,129
